"","RegionName","RegionCode","Date","indicator_type","past_value","past_flag","present_value","present_flag","Notes"
"1","Nova Scotia","CAN_NS","06-Jun-21","C1_School closing",1,"G",2,"T","CoVID cases have been connected to Graham Creighton Junior High, Dartmouth and Bedford and Forsyth Education Centres (Dartmouth Campus). The schools will therefore remain closed to students until Thursday, June 10. Source: https://archive.fo/CkB1m"
"2","Prince Edward Island","CAN_PE","06-Jun-21","C1_School closing",1,"G",1,"G","no change"
"3","New Brunswick","CAN_NB","07-Jun-21","C1_School closing",1,"G",1,"G","On 7 June 2021, the province of New Brunswick (NB) is at the Yellow level Throughout NB: “Schools: All educational and camp facilities are open under appropriate public health guidance, virtual to be used for at-risk groups. Post-secondary educational institutions may operate.” Some PSE institutions are still operating largely online -- e.g., at University of NB: “On-campus, in-person summer term courses will be offered through alternative delivery methods so you can continue your spring and summer studies from the comfort and safety of your home.” See Province of NB and UNB websites, archived: https://web.archive.org/web/20210605194706/https://www.unb.ca/cel/summer-at-unb.html  https://web.archive.org/web/20210607153557/https://www2.gnb.ca/content/gnb/en/corporate/promo/covid-19/alert-levels.html  https://web.archive.org/web/20210605194810/https://www2.gnb.ca/content/gnb/en/corporate/promo/covid-19/alert-levels/yellow%20level.html"
"4","Newfoundland and Labrador","CAN_NL","07-Jun-21","C1_School closing",1,"G",1,"G","On 7 June 2021, in the province of Newfoundland and Labrador (NL): “an enhanced ‘Scenario 2’ blended learning education delivery model for most high school students …[who] attend school on alternate days to reduce the number of students in class at one time. Those who are not physically in class on a given day will continue their learning from home…[and]  connect virtually with teachers and classmates for at least a portion of each class.” Younger students in elementary school grades receive in-class instruction throughout the province. At Memorial University: “The School of Human Kinetics and Recreation (HKR) will return to offering its programs fully on campus in the spring 2021 semester (beginning in mid-May and ending in mid-August)...The Faculty of Medicine, Faculty of Nursing, School of Pharmacy and Marine Institute will continue with on-campus instruction … Other faculties and schools with spring semester course offerings will continue with primarily remote instruction.” See NL English School District and Memorial University websites, archived: https://web.archive.org/web/20210607141308/https://www.mun.ca/covid19/students/spring.php  https://web.archive.org/web/20210607141219/https://www.nlesd.ca/includes/files/news/doc/1618333573432.pdf  "
"5","Manitoba","CAN_MB","08-Jun-21","C1_School closing",2,"T",2,"T","No policy change: https://web.archive.org/web/20210627232635/https://www.manitoba.ca/covid19/prs/reopening/milestone-one.html"
"6","Nova Scotia","CAN_NS","08-Jun-21","C1_School closing",2,"T",2,"T","A CoVID case has been linked to Halifax West High School. The school has therefore been closed to in-person classes until June 11, 2021. Source: https://archive.fo/ea9uG"
"7","Northwest Territories","CAN_NT","08-Jun-21","C1_School closing",1,"G",1,"G","Schools continues to remain open. As a result of recent outbreaks, there is a new School Symptom Screening and Testing Process in place.  Students and staff who experience symptoms upon being tested will be encouraged to stay home, be assessed by a healthcare provider and issued an assessment card before returning to school.    https://web.archive.org/web/20210531231430/https://www.hss.gov.nt.ca/en/newsroom/introduction-new-school-symptom-screening-and-testing-process"
"8","Nova Scotia","CAN_NS","09-Jun-21","C1_School closing",2,"T",2,"T","A CoVID case has been linked to Fairview Junior High School. The school has therefore been closed to in-person classes until June 14, 2021. Source: https://archive.fo/vQRKh"
"9","Nunavut","CAN_NU","09-Jun-21","C1_School closing",2,"T",2,"T","On June 9th, schools in Kinngait and Iqaluit (the only ones at Stage 3) moved to Stage 2. This means that Elementary shcool students return full-time to in-school learning. Middle and High School students however will continue to receive a mix of in-person and home-learning. These students will attend school two to three days a week with staggered schedules to reduce physical interaction. As school is closed for two or three days a week for these students, the code has been left as 2 (require closing, some levels).    Sources:     http://web.archive.org/web/20210616081758/https://www.gov.nu.ca/health/news/public-health-restrictions-eased-kinngait-and-iqaluit-masks-mandatory-across-territory    http://web.archive.org/web/20210616081130/https://gov.nu.ca/sites/default/files/files/2020-21_opening_plan_for_nunavut_schools_-_eng.pdf"
"10","Alberta","CAN_AB","10-Jun-21","C1_School closing",2,"G",1,"G","On June 10, post-secondary schools were permitted to resume in-person learning. K-12 schools throughout Alberta have also resumed in-person learning.    https://web.archive.org/web/20210614034913/https://www.alberta.ca/release.cfm?xID=7934477F07AEA-A03E-C928-08F2CE679254D785"
"11","Nova Scotia","CAN_NS","11-Jun-21","C1_School closing",2,"T",2,"T","A CoVID case has been linked to Breton Education Centre. The school remains closed to in-person learning. Source: https://archive.fo/kj3Gs"
"12","Nova Scotia","CAN_NS","13-Jun-21","C1_School closing",2,"T",2,"T","A CoVID case has been linked to Rocky Lake Junior High. The school has been closed to in-person instruction until June 16, 2021. Source: https://archive.fo/lkXd3"
"13","New Brunswick","CAN_NB","14-Jun-21","C1_School closing",1,"G",1,"G","On 14 June 2021, the province of New Brunswick (NB) is at the Yellow level: “Schools: All educational and camp facilities are open under appropriate public health guidance, virtual to be used for at-risk groups. Post-secondary educational institutions may operate.” Some PSE institutions are still operating largely online -- e.g., at University of NB: “On-campus, in-person summer term courses will be offered through alternative delivery methods so you can continue your spring and summer studies from the comfort and safety of your home.” See Province of NB and UNB websites, archived:   https://web.archive.org/web/20210614140630/https://www2.gnb.ca/content/gnb/en/corporate/promo/covid-19/alert-levels.html  https://web.archive.org/web/20210614140847/https://www2.gnb.ca/content/gnb/en/corporate/promo/covid-19/alert-levels/yellow%20level.html  https://web.archive.org/web/20210614140950/https://www.unb.ca/cel/summer-at-unb.html  "
"14","Newfoundland and Labrador","CAN_NL","14-Jun-21","C1_School closing",1,"G",1,"G","On 14 June 2021, in the province of Newfoundland and Labrador (NL): “an enhanced ‘Scenario 2’ blended learning education delivery model for most high school students …[who] attend school on alternate days to reduce the number of students in class at one time. Those who are not physically in class on a given day will continue their learning from home…[and]  connect virtually with teachers and classmates for at least a portion of each class.” Younger students in elementary school grades receive in-class instruction throughout the province. At Memorial University: “The School of Human Kinetics and Recreation (HKR) will return to offering its programs fully on campus in the spring 2021 semester (beginning in mid-May and ending in mid-August)...The Faculty of Medicine, Faculty of Nursing, School of Pharmacy and Marine Institute will continue with on-campus instruction … Other faculties and schools with spring semester course offerings will continue with primarily remote instruction.” See NL English School District and Memorial University websites, archived: https://web.archive.org/web/20210614172118/https://www.nlesd.ca/includes/files/news/doc/1618333573432.pdf  https://web.archive.org/web/20210614172323/https://www.mun.ca/covid19/students/spring.php"
