"","RegionName","RegionCode","Date","indicator_type","past_value","past_flag","present_value","present_flag","Notes"
"1","Alabama","US_AL","16-Nov","C1_School.closing",2,"T",2,"T","Several more schools and another school district have closed for the remainder of November due to COVID-19 outbreaks. Several other school systems remain virtual only.    https://archive.vn/iqTgu    https://archive.vn/kwdhS    https://alpublichealth.maps.arcgis.com/apps/opsdashboard/index.html#/c6909b3820ae4047b0317fa00abc46fc"
"2","Arkansas","US_AR","16-Nov","C1_School.closing",2,"T",2,"T","12/2: Updated by reviewer Monika Pyarali from 1T to 2T (see note on 11/03 for further details)    Note from previous coder (Kelly Daniels):   Bentonville West High School & Bentonville High School will transition to virtual learning beginning Monday, November 16 through Monday, November 30. The reason for the shift is because of an increase in COVID-19 positive tests and quarantines in grades 9-12.  Since it’s temporary, I’m leaving the recommended coding.   https://web.archive.org/web/20201128152223/https://www.nwahomepage.com/back-to-class/list-tracking-schools-with-covid-19-cases/ "
"3","California","US_CA","16-Nov","C1_School.closing",3,"T",3,"T","Schools remain closed in purple/widespread tiers. On Nov 16, it was reported that the LA Unified Superintendent said that there is no current timeline for when all campuses will reopen, but  that won't happen until January at the earliest. When schools re-open, they will likely start with the earlier grades and phase into the later grades. Fresno Unified School District updated their COVID-19 website as well as sent out a letter to parents on Nov 20 outlining the proposed steps for re-opening in January. On Nov 21, it was reported that San Diego Unified School District is still planning on opening to more students in January as well.     Universities remain closed to in-person classes unless the classes are necessary to be held in person and are small in size, such as labs.    LAist article: https://web.archive.org/web/20201123085420/https://laist.com/latest/post/20201116/lausd-reopening-timeline-austin-beutner-superintendent  Fresno Unified COVID-19 website: https://web.archive.org/web/20201123084600/https://www.fresnounified.org/covid19/  Fresno Unified letter: https://web.archive.org/web/20201123084402/https://www.fresnounified.org/wp-content/uploads/Parent-Letter-11-20-2020.pdf  San Diego Tribune article: https://web.archive.org/web/20201123085129/https://www.sandiegouniontribune.com/news/education/story/2020-11-19/heres-who-will-qualify-for-san-diego-unifieds-phase-one-expansion-which-begins-dec-7  "
"4","Georgia","US_GA","16-Nov","C1_School.closing",2,"T",2,"T","On 16 October 2020, Governor Brian Kemp signed Executive Order 11.13.20.01, renewing current COVID-19 restrictions through November 30, 2020. Thus, the previous guidance is still in place.    Reference:  https://web.archive.org/save/https://madmimi.com/p/ef7a711?pact=1262003-160630373-12644654706-afc6c3a4be0dc88bdaeee6cdbad9459c595454e9&fbclid=IwAR3Mnz0Fxz1hXXoBNzZEY4hN0B2hNuq-G6f96r8sYFHmGm0GyJYR_PUdIa4"
"5","Iowa","US_IA","16-Nov","C1_School.closing",2,"T",2,"T","On November 16th, Des Moines Public Schools and Iowa City Community School District decided to return to 100% virtual learning for all grades due to alarming number of Covid-19 infections in Iowa.   Des Moines Public Schools: http://web.archive.org/web/20201117133656/https://www.dmschools.org/virtual-learning-dmps-november-16-30-2020/  Iowa City Community School District: http://web.archive.org/web/20201123043243/https://www.iowacityschools.org/site/default.aspx?PageType=3&DomainID=8&ModuleInstanceID=11948&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=53960&PageID=9  "
"6","Idaho","US_ID","16-Nov","C1_School.closing",1,"T",2,"T","As of November 16 Blaine County schools are entirely remote until November 30.    https://archive.fo/tZ79i  Boise schools have announced that they will be completely remote from after Thanksgiving to early January.    https://archive.vn/MIQXr"
"7","Illinois","US_IL","16-Nov","C1_School.closing",2,"T",2,"T","The president of the Illinois Federation of Teachers (IFT) is urging schools across the state to go to remote learning due to the surge of COVID-19.    The Illinois Federation of Teachers represents 103,000 teachers and paraprofessionals in PreK-12 school districts throughout Illinois, faculty and staff at Illinois’ community colleges and universities, public employees under every statewide elected constitutional officer, and retirees.     https://web.archive.org/web/20201120193627/https://week.com/2020/11/16/illinois-federation-of-teachers-urges-schools-to-go-to-remote-learning-due-to-covid-19/ "
"8","Kansas","US_KS","16-Nov","C1_School.closing",2,"T",2,"T","On November 16, it was announced that secondary students in the Shawnee Mission School District will move to remote learning on Nov. 30. The changes applies to both middle and high school students. They will continue to learn remotely through Jan. 22, 2021. Elementary students will continue in-person learning for now. The district said it will attempt to give parents a minimum 14-day notice if it decides to make any changes for those students. KSHB article: https://web.archive.org/web/20201124043558/https://www.kshb.com/news/coronavirus/smsd-secondary-students-to-move-to-remote-learning-as-covid-19-cases-rise    Wichita School district announced the Board of Education voted to extend Fall Break to encompass the entire week of November 23 -27.  This will allow all students and employees (schools and non-attendance centers) to have an extended break due to the impact of COVID-19 cases on the district. USD259 announcement: https://web.archive.org/web/20201124044557/https://www.usd259.org/wpsreturn"
"9","North Dakota","US_ND","16-Nov","C1_School.closing",2,"T",2,"T","On November 16, the Fargo Public Schools (FPS) COVID-19 Instructional Plan Committee met and set a tentative goal now to return to in-person instruction for all grade levels beginning January 19, 2021. In the meantime, it will maintain its current instructional plan which is 1)Elementary Schools: In-Person Instruction 4 days per week. 2) Middle Schools & High School Hybrid Learning     https://web.archive.org/web/20201207090113/https://www.fargo.k12.nd.us/domain/509"
"10","Nebraska","US_NE","16-Nov","C1_School.closing",1,"G",1,"G","On November 16, he Governor reviewed Nebraska’s recently announced plan to tighten or loosen health restrictions in phases, based on trends in coronavirus-related hospitalizations.  A chart outlining each of the five, color-coded phases is available by clicking here.  Currently, Nebraska is in the “orange” phase.      School: Remain Open    See the Office of Governor press release, archived: https://web.archive.org/web/20201123133643/https://governor.nebraska.gov/press/gov-ricketts-encourages-nebraskans-continue-good-health-habits-support-restaurants"
