"","RegionName","RegionCode","Date","indicator_type","past_value","past_flag","present_value","present_flag","Notes"
"1","Idaho","US_ID","03-Sep","C1_School.closing",2,"T",2,"T","Boise school district is preparing for a phased in person opening beginning September 21.  https://web.archive.org/web/20200908134554/https://www.boiseschools.org/news/what_s_new/phased_reopening_draft_plan_announced"
"2","Missouri","US_MO","03-Sep","C1_School.closing",2,"T",2,"T","On Sept. 3, Gov. Mike Parson announced that over 7,000 college-age people in Missouri have tested positive for the coronavirus since classes began in mid-August.  https://web.archive.org/web/20200909073451/https://www.ky3.com/2020/09/03/7000-plus-missouri-college-students-have-tested-positive-for-covid-19-parson-says/"
"3","Mississippi","US_MS","03-Sep","C1_School.closing",2,"T",2,"T","Some schools had to be closed due to a spike in COVID19 cases within. However, most schools are allowed to commence as planned.    See News Article, archived: http://web.archive.org/web/20200910132813/https://mississippitoday.org/2020/08/19/covid-19-outbreak-closes-mississippi-elementary-school-just-one-week-after-it-reopened/"
"4","Montana","US_MT","03-Sep","C1_School.closing",0,NA,0,NA,"In support of previous coding,  EdWeek's school tracker recorded the following MT districts as being open for in person instruction at the given start dates. As EdWeek's tracker covers the largest districts, this supports that schools are widely reopened in Montana.    Billings Elem	MT	11,453 Full in-person reopening available for all students	08/24/2020	    Billings H S	MT	5,505 Full in-person reopening available for all students	08/24/2020    Bozeman Elementary	MT	4,763	Hybrid/Partial	09/08/2020		    Bozeman High School	MT	2,204 Hybrid/Partial	09/08/2020    Glasgow K-12 Schools	MT	Full in-person reopening available for all students	08/26/2020    Baker K-12 Schools	MT	Full in-person reopening available for all students	08/20/2020    https://www.edweek.org/ew/section/multimedia/school-districts-reopening-plans-a-snapshot.html    https://web.archive.org/web/20200906014803/https://www.bsd7.org/district_news/re-entry_plan    https://web.archive.org/web/20200906015004/https://www.baker.k12.mt.us/districtNewsArticles.aspx"
"5","Oregon","US_OR","03-Sep","C1_School.closing",3,"T",3,"T","There are 197 school districts in Oregon. The ""Ready Schools, Safe Learners"" metrics are guiding districts' decisions on reopening online or with a hybrid model. For example, the Sisters School District in Deschutes County hopes to bring K-3rd grade back for in-person instruction starting Sept 28, and possibly fully reopening by mid-October, six weeks after school begins. The beginning of the school year will be remote for K-12 grade, starting September 8. The threshold of positive Covid-19 cases per 100,000 for K-3 is three times as lenient as for all other grades.   County Metrics - metrics to be met three weeks in a row: Case rate: =10 cases per 100,000 population in the preceding 7 days*  • Test positivity: =5% in the preceding 7 days - and -   State Metric - metric to be met three weeks in a row: Test positivity: =5% in the preceding 7 days     https://web.archive.org/web/20200905230516/https://www.oregon.gov/oha/PH/DISEASESCONDITIONS/DISEASESAZ/Emerging%20Respitory%20Infections/Ready-Schools-Safe-Learners-Community-COVID-19-Metrics.pdf    https://web.archive.org/web/20200905231039/https://ktvz.com/news/coronavirus/2020/09/04/sisters-schools-detail-target-dates-for-k-3-older-students-return-to-in-person-learning/"
"6","Virgin Islands","US_VI","03-Sep","C1_School.closing",3,"G",3,"G","School reopenings pushed back from September 8 to September 14.    https://archive.fo/r0mG5"
"7","Wisconsin","US_WI","03-Sep","C1_School.closing",2,"T",2,"T","The City of Milwaukee Health Department allowed 11 more schools to reopen on September 3rd.   http://web.archive.org/web/20200905014102/https://city.milwaukee.gov/ImageLibrary/MKE-Health1/COVID-19/MediaReleaseSchoolSafetyPlansUpdate9.4.20.pdf "
"8","Maine","US_ME","04-Sep","C1_School.closing",2,"G",2,"G","According to an article in the Portland Press Herald, K-12 schools in Maine are due to reopen (in a variety of learning styles, depending on each school district) on 14th September 2020, therefore 2G remains in effect until at least this date.     See Portland Press Herald website, archived: http://web.archive.org/web/20200911114806/https://www.pressherald.com/2020/08/19/portland-school-board-debates-school-reopening-plan/"
"9","Missouri","US_MO","04-Sep","C1_School.closing",2,"T",2,"T","On Sept. 4, the St. Louis County Department of Health released new data showing the impact of Covid-19 in St. Louis County schools.  https://archive.fo/UwjtH "
"10","New York","US_NY","04-Sep","C1_School.closing",2,"G",2,"T","Mayor de Blasio announced on 1st September 2020 that the reopening of New York City’s K-12 public schools for in-person teaching would be delayed until 21st September (linked below). However, as all other school districts in New York have the go-ahead from Governor Cuomo to reopen at their usual times (see previous C1 note), and universities are open, this indicator is now coded at a 2T.     Sources (Wayback Machine unavailable): https://www1.nyc.gov/office-of-the-mayor/news/627-20/mayor-de-blasio-chancellor-carranza-labor-reach-agreement-reopen-new-york-city-schools#/0""    https://www.governor.ny.gov/news/governor-cuomo-announces-based-each-regions-infection-rate-schools-across-new-york-state-are"
